Team,Member,Rival,Record,Points Scored,Points Against,Inseason Rank,Final Rank,Misc,Manage
The Minutemen,mmen,---,9-4,"1,629.50","1,405.05",2,1,,
Disney's PigskinSlingers,bandits,---,9-4,"1,453.45","1,348.90",3,2,,
Durham Handsome Devils,devils,---,9-4,"1,642.90","1,452.00",1,3,,
FFUcked Up,ffuckedup,---,8-5,"1,703.50","1,568.75",4,4,,
The Stallions,stallions,---,8-5,"1,639.60","1,414.15",5,5,,
Not Your Average Joes,joes,---,7-6,"1,382.40","1,464.25",6,6,,
"Blood, Sweat and Beers",beers,---,5-8,"1,455.90","1,550.10",9,7,,
Bailando Cabras,tcool,---,6-7,"1,368.20","1,543.40",7,8,,
Indianapolis Aztecs,aztecs,---,4-9,"1,459.40","1,564.95",10,9,,
El Guapo Puto,guapo,---,5-8,"1,481.80","1,533.75",8,10,,
The Losers,losers,---,4-9,"1,335.30","1,514.20",12,11,,
Currier Island Raging Rhinos,rhinos,---,4-9,"1,413.15","1,605.60",11,12,,
